date,per
2021-09-29,0.754746848
2021-09-30,0.761391594
2021-10-01,0.765963216
2021-10-02,0.768370272
2021-10-03,0.768437401
2021-10-04,0.768931868
2021-10-05,0.769807442
2021-10-06,0.77052753
2021-10-07,0.771243648
2021-10-08,0.772117794
2021-10-09,0.772328398
2021-10-10,0.772382013
2021-10-11,0.774190515
2021-10-12,0.776251166
2021-10-13,0.777366898
2021-10-14,0.778429593
2021-10-15,0.780159668
2021-10-16,0.781402699
2021-10-17,0.781440062
2021-10-18,0.782827627
2021-10-19,0.7835508
2021-10-20,0.784883613
2021-10-21,0.786038365
2021-10-22,0.787314806
2021-10-23,0.78830935
2021-10-24,0.788384153
2021-10-25,0.789899653
2021-10-26,0.790696029
2021-10-27,0.792196588
2021-10-28,0.793416445
2021-10-29,0.794586389
2021-10-30,0.79528797
2021-10-31,0.795344689
2021-11-01,0.796952169
2021-11-02,0.79777727
2021-11-03,0.799035011
2021-11-04,0.800207924
2021-11-05,0.801589069
2021-11-06,0.802466088
2021-11-07,0.802508174
2021-11-08,0.804764392
2021-11-09,0.805654463
2021-11-10,0.80698502
2021-11-11,0.80822915
2021-11-12,0.809746135
2021-11-13,0.81081552
2021-11-14,0.810859803
2021-11-15,0.812066185
2021-11-16,0.812721805
2021-11-17,0.813607904
2021-11-18,0.814483362
2021-11-19,0.815445113
2021-11-20,0.815967303
2021-11-21,0.815994448
2021-11-22,0.816952651
2021-11-23,0.817508059
2021-11-24,0.818418874
2021-11-25,0.819354135
2021-11-26,0.820440756
2021-11-27,0.821069674
2021-11-28,0.821088992
2021-11-29,0.82169252
2021-11-30,0.822118276
2021-12-01,0.822583459
2021-12-02,0.823025776
2021-12-03,0.823693561
2021-12-04,0.824111548
2021-12-05,0.824145286
2021-12-06,0.825162252
2021-12-07,0.825901851
2021-12-08,0.826797494
2021-12-09,0.827681974
2021-12-10,0.828683921
2021-12-11,0.829189821
2021-12-12,0.82923048
2021-12-13,0.830725294
2021-12-14,0.831798766
2021-12-15,0.833505803
2021-12-16,0.835408791
2021-12-17,0.837491267
2021-12-18,0.838834124
2021-12-19,0.838950569
2021-12-20,0.841307692
2021-12-21,0.842759553
2021-12-22,0.844518161
2021-12-23,0.846044052
